A	A	a	DT		DT
central	central	central	JJ		JJ
processing	processing	processing	NN		NN
unit	unit	unit	NN		NN
-LRB-	-LRB-	-lrb-	-LRB-		-LRB-
CPU	CPU	CPU	NNP		NNP
-RRB-	-RRB-	-rrb-	-RRB-		-RRB-
is	is	be	VBZ		VBZ
the	the	the	DT		DT
electronic	electronic	electronic	JJ		JJ
circuitry	circuitry	circuitry	NN		NN
within	within	within	IN		IN
a	a	a	DT		DT
computer	computer	computer	NN		NN
that	that	that	WDT		WDT
carries	carries	carry	VBZ		VBZ
out	out	out	RP		RP
the	the	the	DT		DT
instructions	instructions	instruction	NNS		NNS
of	of	of	IN		IN
a	a	a	DT		DT
computer	computer	computer	NN		NN
program	program	program	NN		NN
by	by	by	IN		IN
performing	performing	perform	VBG		VBG
the	the	the	DT		DT
basic	basic	basic	JJ		JJ
arithmetic	arithmetic	arithmetic	NN		NN
,	,	,	,		,
logical	logical	logical	JJ		JJ
,	,	,	,		,
control	control	control	NN		NN
and	and	and	CC		CC
input/_/output	input/_/output	input/_/output	NN		NN
-LRB-	-LRB-	-lrb-	-LRB-		-LRB-
I/_/O	I/_/O	I/_/O	NNP		NNP
-RRB-	-RRB-	-rrb-	-RRB-		-RRB-
operations	operations	operation	NNS		NNS
specified	specified	specify	VBN		VBN
by	by	by	IN		IN
the	the	the	DT		DT
instructions	instructions	instruction	NNS		NNS
.	.	.	.		.
。	。	。	ALL	SP
The	The	the	DT		DT
term	term	term	NN		NN
has	has	have	VBZ		VBZ
been	been	be	VBN		VBN
used	used	use	VBN		VBN
in	in	in	IN		IN
the	the	the	DT		DT
computer	computer	computer	NN		NN
industry	industry	industry	NN		NN
at	at	at	IN		IN
least	least	least	JJS		JJS
since	since	since	IN		IN
the	the	the	DT		DT
early	early	early	JJ		JJ
1960s	1960s	1960	NNS		NNS
.	.	.	.		.
-LRB-	-LRB-	-lrb-	-LRB-		-LRB-
1	1	1	CD		CD
-RRB-	-RRB-	-rrb-	-RRB-		-RRB-
Traditionally	Traditionally	traditionally	RB		RB
,	,	,	,		,
the	the	the	DT		DT
term	term	term	NN		NN
``	``	``	``		``
CPU	CPU	CPU	NNP		NNP
''	''	''	''		''
refers	refers	refer	VBZ		VBZ
to	to	to	TO		TO
a	a	a	DT		DT
processor	processor	processor	NN		NN
,	,	,	,		,
more	more	more	JJR		JJR
specifically	specifically	specifically	RB		RB
to	to	to	TO		TO
its	its	its	PRP$		PRP$
processing	processing	processing	NN		NN
unit	unit	unit	NN		NN
and	and	and	CC		CC
control	control	control	NN		NN
unit	unit	unit	NN		NN
-LRB-	-LRB-	-lrb-	-LRB-		-LRB-
CU	CU	CU	NNP		NNP
-RRB-	-RRB-	-rrb-	-RRB-		-RRB-
,	,	,	,		,
distinguishing	distinguishing	distinguish	VBG		VBG
these	these	these	DT		DT
core	core	core	NN		NN
elements	elements	element	NNS		NNS
of	of	of	IN		IN
a	a	a	DT		DT
computer	computer	computer	NN		NN
from	from	from	IN		IN
external	external	external	JJ		JJ
